,MSE,MAE,R2,RMSE,feature_engineering_applied,lagged,scaled,normalized,simple_short_lag,simple_medium_lag,simple_seasonal_lag,rolling_short,rolling_medium,feature_engineering,scaler,normalizer,model,model_family
12,6.350209526681789,1.973816743301564,0.2371964495780372,2.519962207391569,0,0,1,1,0,0,0,0,0,None,StandardScaler,Normalizer,LinearRegression,Linear
13,6.337781057885027,1.9722373793615329,0.2386893893124891,2.517494996595828,0,0,1,1,0,0,0,0,0,None,StandardScaler,Normalizer,Lasso,Linear
14,2.241985178124507,1.130563211190344,0.730737375546364,1.4973260092994134,0,1,1,1,1,0,0,0,0,None,StandardScaler,Normalizer,LinearRegression,Linear
15,2.249044027926988,1.132019313945475,0.7298896070410297,1.499681308787633,0,1,1,1,1,0,0,0,0,None,StandardScaler,Normalizer,Lasso,Linear
16,2.1637102581020837,1.11329792108386,0.7399211213174135,1.470955559526556,0,1,1,1,1,1,1,0,0,None,StandardScaler,Normalizer,LinearRegression,Linear
17,2.179800269135057,1.1178388456664876,0.7379870952564949,1.476414667068523,0,1,1,1,1,1,1,0,0,None,StandardScaler,Normalizer,Lasso,Linear
18,2.219393875101756,1.124863068812368,0.7332279272467024,1.4897630264917154,0,1,1,1,1,1,1,1,1,None,StandardScaler,Normalizer,LinearRegression,Linear
19,2.234469847472241,1.1283523713851416,0.7314157890574585,1.4948143187273266,0,1,1,1,1,1,1,1,1,None,StandardScaler,Normalizer,Lasso,Linear
20,2.5595983278000225,1.2202430934741382,0.6925968968952061,1.5998744725133978,0,1,1,1,0,0,0,1,0,None,StandardScaler,Normalizer,LinearRegression,Linear
21,2.555810265472734,1.219518226730333,0.6930518362899992,1.5986901718196476,0,1,1,1,0,0,0,1,0,None,StandardScaler,Normalizer,Lasso,Linear
22,2.294138400403163,1.142363943727866,0.724271253066242,1.5146413438181208,0,1,1,1,1,1,0,1,1,None,StandardScaler,Normalizer,LinearRegression,Linear
23,2.307108052652358,1.1444123810102118,0.7227124517479742,1.5189167365765504,0,1,1,1,1,1,0,1,1,None,StandardScaler,Normalizer,Lasso,Linear
24,5.688952891544434,1.833372383621315,0.3166283024804447,2.3851525929265898,1,0,1,0,0,0,0,0,0,PolynomialFeatures,StandardScaler,None,LinearRegression,Linear
25,5.733260482384947,1.849981452640884,0.3113059603653103,2.394422786891435,1,0,1,0,0,0,0,0,0,PolynomialFeatures,StandardScaler,None,Lasso,Linear
26,1.784931976653113,1.0123055626247408,0.7856295067450518,1.3360134642484385,1,1,1,0,1,0,0,0,0,PolynomialFeatures,StandardScaler,None,LinearRegression,Linear
27,1.832646451343266,1.0239360737003165,0.7798989939812498,1.3537527290252331,1,1,1,0,1,0,0,0,0,PolynomialFeatures,StandardScaler,None,Lasso,Linear
28,1.7886351514204422,1.0152510826770813,0.785005306134783,1.337398650896748,1,1,1,0,1,1,1,0,0,PolynomialFeatures,StandardScaler,None,LinearRegression,Linear
29,1.8202407024331664,1.0208897431927315,0.7812063056739982,1.3491629636308455,1,1,1,0,1,1,1,0,0,PolynomialFeatures,StandardScaler,None,Lasso,Linear
30,1.7975646563434136,1.0175936178818443,0.7839319759054416,1.3407328803096512,1,1,1,0,1,1,1,1,1,PolynomialFeatures,StandardScaler,None,LinearRegression,Linear
31,1.8178761177420213,1.020294120992408,0.7814905297436121,1.3482863634043107,1,1,1,0,1,1,1,1,1,PolynomialFeatures,StandardScaler,None,Lasso,Linear
32,2.1899461540510154,1.12371830463574,0.7369914505428264,1.4798466657228428,1,1,1,0,0,0,0,1,0,PolynomialFeatures,StandardScaler,None,LinearRegression,Linear
33,2.2597732779467234,1.1364739413786034,0.7286053399827086,1.5032542293127678,1,1,1,0,0,0,0,1,0,PolynomialFeatures,StandardScaler,None,Lasso,Linear
34,1.7826073018559785,1.012983812418341,0.7857513402289333,1.3351431765379989,1,1,1,0,1,1,0,1,1,PolynomialFeatures,StandardScaler,None,LinearRegression,Linear
35,1.8222059856751764,1.0209881359387682,0.7809920391040428,1.349891101413435,1,1,1,0,1,1,0,1,1,PolynomialFeatures,StandardScaler,None,Lasso,Linear
36,6.347515998261152,1.9662808283688669,0.2375200031606066,2.5194277124500224,0,0,1,0,0,0,0,0,0,None,StandardScaler,None,LinearRegression,Linear
37,6.330943659526741,1.9638900650767697,0.2395107152421983,2.516136653587547,0,0,1,0,0,0,0,0,0,None,StandardScaler,None,Lasso,Linear
38,1.91340885941812,1.0445027472134525,0.7701994214026202,1.3832602283800832,0,1,1,0,1,0,0,0,0,None,StandardScaler,None,LinearRegression,Linear
39,1.914467828309592,1.0451861341650777,0.7700722391421331,1.3836429555017409,0,1,1,0,1,0,0,0,0,None,StandardScaler,None,Lasso,Linear
40,1.903707593036704,1.0420663799666128,0.7711735504869284,1.3797491051045128,0,1,1,0,1,1,1,0,0,None,StandardScaler,None,LinearRegression,Linear
41,1.90541940920432,1.0430836660021392,0.7709677894670702,1.3803693017465724,0,1,1,0,1,1,1,0,0,None,StandardScaler,None,Lasso,Linear
42,1.903348366372404,1.0419072695414535,0.7712167296823377,1.3796189207068754,0,1,1,0,1,1,1,1,1,None,StandardScaler,None,LinearRegression,Linear
43,1.9047975488429456,1.042765813617324,0.7710425373427979,1.380144031919475,0,1,1,0,1,1,1,1,1,None,StandardScaler,None,Lasso,Linear
44,2.3959716171633443,1.1711907375453323,0.7122481671957995,1.5478926374795328,0,1,1,0,0,0,0,1,0,None,StandardScaler,None,LinearRegression,Linear
45,2.3938359854880398,1.1710520737266628,0.7125046526751606,1.547202632329728,0,1,1,0,0,0,0,1,0,None,StandardScaler,None,Lasso,Linear
46,1.9096404678466532,1.043673793504804,0.770483431513626,1.381897415818791,0,1,1,0,1,1,0,1,1,None,StandardScaler,None,LinearRegression,Linear
47,1.9109186877220377,1.0443872912788574,0.7703298043547397,1.3823598257045948,0,1,1,0,1,1,0,1,1,None,StandardScaler,None,Lasso,Linear
48,5.685266562297498,1.8335263576450824,0.3170711138594666,2.384379701787762,1,0,1,1,0,0,0,0,0,PolynomialFeatures,MinMaxScaler,Normalizer,LinearRegression,Linear
49,5.917754031172708,1.888628316223211,0.2891441193340918,2.4326434245841924,1,0,1,1,0,0,0,0,0,PolynomialFeatures,MinMaxScaler,Normalizer,Lasso,Linear
50,1.781711493503858,1.010565379055875,0.7860162870651173,1.3348076616141586,1,1,1,1,1,0,0,0,0,PolynomialFeatures,MinMaxScaler,Normalizer,LinearRegression,Linear
51,2.011373129055746,1.0711047776062927,0.7584339036807872,1.4182288704774508,1,1,1,1,1,0,0,0,0,PolynomialFeatures,MinMaxScaler,Normalizer,Lasso,Linear
52,1.7869906748826645,1.014298506035607,0.7852029729029483,1.336783705347527,1,1,1,1,1,1,1,0,0,PolynomialFeatures,MinMaxScaler,Normalizer,LinearRegression,Linear
53,2.0802280521357868,1.0915534291900393,0.7499557174174976,1.4422995708713868,1,1,1,1,1,1,1,0,0,PolynomialFeatures,MinMaxScaler,Normalizer,Lasso,Linear
54,1.794701985199676,1.0164638068872982,0.7842760701751399,1.339664877945106,1,1,1,1,1,1,1,1,1,PolynomialFeatures,MinMaxScaler,Normalizer,LinearRegression,Linear
55,2.104255566702072,1.0977761023294916,0.7470676001094942,1.4506052415119943,1,1,1,1,1,1,1,1,1,PolynomialFeatures,MinMaxScaler,Normalizer,Lasso,Linear
56,2.1881818301210374,1.1227172194753652,0.737203342637405,1.4792504284674173,1,1,1,1,0,0,0,1,0,PolynomialFeatures,MinMaxScaler,Normalizer,LinearRegression,Linear
57,2.42338267196967,1.1784251670264834,0.7089561493759244,1.5567217708921752,1,1,1,1,0,0,0,1,0,PolynomialFeatures,MinMaxScaler,Normalizer,Lasso,Linear
58,1.7787720564714322,1.011374170385881,0.7862122921069362,1.333706135725345,1,1,1,1,1,1,0,1,1,PolynomialFeatures,MinMaxScaler,Normalizer,LinearRegression,Linear
59,2.088938840442708,1.0924079792083887,0.7489338529901662,1.4453161731755124,1,1,1,1,1,1,0,1,1,PolynomialFeatures,MinMaxScaler,Normalizer,Lasso,Linear
60,6.478383398172172,1.992640882943696,0.2217998734755663,2.5452668618775856,0,0,1,1,0,0,0,0,0,None,MinMaxScaler,Normalizer,LinearRegression,Linear
61,6.45925136861116,1.9913370484434716,0.2240980622226617,2.541505728620567,0,0,1,1,0,0,0,0,0,None,MinMaxScaler,Normalizer,Lasso,Linear
62,2.0291672910009715,1.074685238609986,0.7562968232076092,1.4244884313327966,0,1,1,1,1,0,0,0,0,None,MinMaxScaler,Normalizer,LinearRegression,Linear
63,2.0911562226091926,1.094800071630625,0.748851946865532,1.4460830621403435,0,1,1,1,1,0,0,0,0,None,MinMaxScaler,Normalizer,Lasso,Linear
64,1.986487773869048,1.064179755521818,0.7612233381017901,1.4094281726533806,0,1,1,1,1,1,1,0,0,None,MinMaxScaler,Normalizer,LinearRegression,Linear
65,2.051415230691485,1.0853742841338287,0.7534190306152122,1.432276241055295,0,1,1,1,1,1,1,0,0,None,MinMaxScaler,Normalizer,Lasso,Linear
66,1.9693132391830968,1.05908659677008,0.7632877243597429,1.4033222150251512,0,1,1,1,1,1,1,1,1,None,MinMaxScaler,Normalizer,LinearRegression,Linear
67,2.054670695853319,1.085714318972368,0.7530277223401279,1.433412256070569,0,1,1,1,1,1,1,1,1,None,MinMaxScaler,Normalizer,Lasso,Linear
68,2.4698523516353723,1.1930770710449623,0.7033752253792283,1.571576390645829,0,1,1,1,0,0,0,1,0,None,MinMaxScaler,Normalizer,LinearRegression,Linear
69,2.546661821805902,1.2170181458892058,0.6941505477328141,1.5958263758335058,0,1,1,1,0,0,0,1,0,None,MinMaxScaler,Normalizer,Lasso,Linear
70,1.9865057409194855,1.0638991191249705,0.7612451199002688,1.409434546518385,0,1,1,1,1,1,0,1,1,None,MinMaxScaler,Normalizer,LinearRegression,Linear
71,2.0687538304114,1.0879302296841022,0.7513598563741817,1.4383163179257197,0,1,1,1,1,1,0,1,1,None,MinMaxScaler,Normalizer,Lasso,Linear
72,5.688952891574122,1.8333723836282163,0.3166283024768785,2.385152592932813,1,0,1,0,0,0,0,0,0,PolynomialFeatures,MinMaxScaler,None,LinearRegression,Linear
73,5.827627709497631,1.8700178371826783,0.299970325598839,2.4140479923766285,1,0,1,0,0,0,0,0,0,PolynomialFeatures,MinMaxScaler,None,Lasso,Linear
74,1.784931976665104,1.0123055626293058,0.7856295067436116,1.3360134642529258,1,1,1,0,1,0,0,0,0,PolynomialFeatures,MinMaxScaler,None,LinearRegression,Linear
75,1.889188096868993,1.038084817544888,0.7731083371946961,1.374477390453911,1,1,1,0,1,0,0,0,0,PolynomialFeatures,MinMaxScaler,None,Lasso,Linear
76,1.7886351514654006,1.0152510826956418,0.785005306129379,1.3373986509135565,1,1,1,0,1,1,1,0,0,PolynomialFeatures,MinMaxScaler,None,LinearRegression,Linear
77,1.8732013718432203,1.0338786481826865,0.7748404110432967,1.3686494700408942,1,1,1,0,1,1,1,0,0,PolynomialFeatures,MinMaxScaler,None,Lasso,Linear
